■ 월별 박스오피스,,,,,,,,,,,,
- 조회일: 2022-01-20,,,,,,,,,,,,
- 출처: 영화진흥위원회 통합전산망 (http://www.kobis.or.kr),,,,,,,,,,,,
▶ 검색조건 [ 조회기간: 202101~202106   영화구분: 전체   국적: 전체   지역: 전체 ],,,,,,,,,,,,
,,,,,,,,,,,,
● 2021년 06월,,,,,,,,,,,,
순위,영화명,개봉일,매출액 ,매출액,누적매출액 ,관객수 ,누적관객수 ,스크린수 ,상영횟수 ,대표국적 ,국적 ,배급사 
,,,,점유율 ,,,,,,,,
38,애플,2021-05-26,"28,604,020",0.1%,"64,406,080","3,339","8,098",63,660,기타,기타,(주)다자인소프트
39,괴기맨숀,2021-06-30,"25,349,000",0.1%,"25,349,000","3,278","3,278",110,267,한국,한국,(주)콘텐츠판다
40,500일의 썸머,2010-01-21,"31,117,510",0.1%,"2,373,693,800","3,196","298,624",76,544,미국,미국,"(주)스튜디오디에이치엘,(주)팝엔터테인먼트,이십세기폭스코리아(주)"
41,인트로덕션,2021-05-27,"28,508,580",0.1%,"52,327,270","3,176","5,827",81,945,한국,한국,"(주)영화제작전원사 ,(주)콘텐츠판다"
42,썰,2021-06-03,"24,994,780",0.1%,"30,340,780","2,838","3,432",104,798,한국,한국,(주)스마일이엔티
43,극장판 콩순이: 장난감나라 대모험,2021-05-05,"20,738,750",0.0%,"674,539,880","2,472","77,064",45,427,한국,한국,(주)넥스트엔터테인먼트월드(NEW)
44,흩어진 밤,2021-06-24,"21,557,840",0.0%,"21,696,840","2,449","2,469",49,340,한국,한국,영화배급협동조합 씨네소파
45,봄날은 간다,2001-09-28,"22,257,000",0.0%,"78,971,000","2,305","12,472",49,650,한국,한국,(주)시네마서비스
46,웬디,2021-06-30,"15,730,300",0.0%,"15,730,300","2,248","2,248",79,113,미국,미국,"(주)영화사 진진,하이, 스트레인저"
47,실크 로드,2021-06-09,"18,393,710",0.0%,"19,320,710","2,196","2,299",106,754,미국,미국,(주)디스테이션
48,강호아녀,2021-06-10,"16,894,270",0.0%,"17,132,270","2,075","2,095",45,451,프랑스,프랑스,(주)에스와이코마드
49,그레타 툰베리,2021-06-17,"16,393,600",0.0%,"16,393,600","1,929","1,929",30,276,미국,미국,(주)영화사 진진
50,혼자 사는 사람들,2021-05-19,"16,486,560",0.0%,"110,479,060","1,881","12,398",57,477,한국,한국,주식회사 더쿱
51,블라이스 스피릿,2021-06-30,"14,060,700",0.0%,"14,060,700","1,867","1,867",135,192,영국,영국,(주)이놀미디어
52,다크 앤드 위키드,2021-06-30,"12,187,900",0.0%,"12,187,900","1,710","1,710",164,299,미국,미국,와이드 릴리즈(주)
53,전야,2021-06-03,"13,493,800",0.0%,"13,493,800","1,568","1,568",55,485,한국,한국,(주)이놀미디어
54,청춘선거,2021-06-17,"10,586,500",0.0%,"10,586,500","1,537","1,537",27,232,한국,한국,아이 엠
55,더 파더,2021-04-07,"12,020,710",0.0%,"394,371,500","1,436","46,276",11,186,영국,영국,판씨네마(주)
56,#위왓치유,2021-06-03,"12,518,450",0.0%,"16,307,450","1,403","1,835",38,421,기타,기타,찬란
57,화이트 온 화이트,2021-06-10,"11,011,010",0.0%,"11,011,010","1,381","1,381",34,349,스페인,스페인,"대성필름,시네마 뉴원"
58,신비아파트 뮤지컬 시즌3 : 뱀파이어왕의 비밀,2021-05-22,"19,345,000",0.0%,"54,186,000","1,375","3,700",49,234,한국,한국,(주)씨제이이엔엠
59,프라도 위대한 미술관,2021-06-09,"19,932,500",0.0%,"19,932,500","1,108","1,108",22,339,이탈리아,이탈리아,CGV ICECON
60,더 스파이,2021-04-28,"7,855,700",0.0%,"2,844,155,830","1,104","308,545",22,202,미국,미국,"TCO(주)더콘텐츠온,(주)제이앤씨미디어그룹"
61,아들의 이름으로,2021-05-12,"7,494,850",0.0%,"216,758,610","1,083","25,263",11,80,한국,한국,(주)엣나인필름
62,더 데빌,2021-06-23,"19,292,000",0.0%,"19,292,000","1,040","1,040",19,202,한국,한국,CGV ICECON
63,신해석 삼국지,2021-06-24,"6,979,140",0.0%,"8,369,080","1,035","1,196",17,113,일본,일본,"(주)리틀빅픽쳐스,(주)레드로버"
64,슈퍼노바,2021-05-12,"5,690,500",0.0%,"78,748,240","1,028","9,695",9,59,영국,영국,(주)디스테이션
65,뱅퀴시,2021-06-24,"5,104,900",0.0%,"5,104,900","1,009","1,009",48,60,미국,미국,(주)까멜리아이엔티
66,까치발,2021-06-03,"7,863,000",0.0%,"16,973,000",975,"2,159",27,342,한국,한국,(주)시네마달
67,데이팅 앰버,2021-06-23,"8,849,110",0.0%,"8,849,110",955,955,33,425,기타,기타,주식회사 왓챠
68,내겐 너무 소중한 너,2021-05-12,"4,361,800",0.0%,"216,401,420",946,"24,667",6,70,한국,한국,(주)파인스토리
